,zip,AQI,Category,DateObserved,HourObserved,Latitude,LocalTimeZone,Longitude,ParameterName,ReportingArea,StateCode
779,95035,15,"{'Number': 1, 'Name': 'Good'}",2018-10-10 ,0,37.33,PST,-121.9,PM2.5,San Jose,CA
780,94957,28,"{'Number': 1, 'Name': 'Good'}",2018-10-11 ,0,37.97,PST,-122.52,OZONE,San Rafael,CA
781,94957,32,"{'Number': 1, 'Name': 'Good'}",2018-10-11 ,0,37.97,PST,-122.52,PM2.5,San Rafael,CA
782,94956,34,"{'Number': 1, 'Name': 'Good'}",2018-10-12 ,0,37.97,PST,-122.52,OZONE,San Rafael,CA
783,94956,26,"{'Number': 1, 'Name': 'Good'}",2018-10-12 ,0,37.97,PST,-122.52,PM2.5,San Rafael,CA
784,94607,28,"{'Number': 1, 'Name': 'Good'}",2018-10-13 ,0,37.8,PST,-122.27,OZONE,Oakland,CA
785,94607,54,"{'Number': 2, 'Name': 'Moderate'}",2018-10-13 ,0,37.8,PST,-122.27,PM2.5,Oakland,CA
786,95472,29,"{'Number': 1, 'Name': 'Good'}",2018-10-14 ,0,38.45,PST,-122.7,OZONE,Santa Rosa,CA
787,94546,39,"{'Number': 1, 'Name': 'Good'}",2018-10-15 ,0,37.55,PST,-122.03,OZONE,Fremont,CA
788,94546,20,"{'Number': 1, 'Name': 'Good'}",2018-10-15 ,0,37.55,PST,-122.03,PM2.5,Fremont,CA
789,94951,41,"{'Number': 1, 'Name': 'Good'}",2018-10-15 ,0,38.45,PST,-122.7,OZONE,Santa Rosa,CA
790,94951,4,"{'Number': 1, 'Name': 'Good'}",2018-10-15 ,0,38.45,PST,-122.7,PM2.5,Santa Rosa,CA
791,94141,28,"{'Number': 1, 'Name': 'Good'}",2018-10-09 ,0,37.75,PST,-122.43,OZONE,San Francisco,CA
792,94141,27,"{'Number': 1, 'Name': 'Good'}",2018-10-09 ,0,37.75,PST,-122.43,PM2.5,San Francisco,CA
793,94114,33,"{'Number': 1, 'Name': 'Good'}",2018-10-10 ,0,37.75,PST,-122.43,PM2.5,San Francisco,CA
794,94588,34,"{'Number': 1, 'Name': 'Good'}",2018-10-11 ,0,37.68,PST,-121.77,OZONE,Livermore,CA
795,94588,35,"{'Number': 1, 'Name': 'Good'}",2018-10-11 ,0,37.68,PST,-121.77,PM2.5,Livermore,CA
796,94611,25,"{'Number': 1, 'Name': 'Good'}",2018-10-12 ,0,37.8,PST,-122.27,OZONE,Oakland,CA
797,94611,44,"{'Number': 1, 'Name': 'Good'}",2018-10-12 ,0,37.8,PST,-122.27,PM2.5,Oakland,CA
798,95008,38,"{'Number': 1, 'Name': 'Good'}",2018-10-13 ,0,37.33,PST,-121.9,OZONE,San Jose,CA
799,95008,23,"{'Number': 1, 'Name': 'Good'}",2018-10-13 ,0,37.33,PST,-121.9,PM2.5,San Jose,CA
800,94516,32,"{'Number': 1, 'Name': 'Good'}",2018-10-14 ,0,37.8,PST,-122.27,OZONE,Oakland,CA
801,94516,59,"{'Number': 2, 'Name': 'Moderate'}",2018-10-14 ,0,37.8,PST,-122.27,PM2.5,Oakland,CA
802,95461,41,"{'Number': 1, 'Name': 'Good'}",2018-10-15 ,0,38.45,PST,-122.7,OZONE,Santa Rosa,CA
803,95461,4,"{'Number': 1, 'Name': 'Good'}",2018-10-15 ,0,38.45,PST,-122.7,PM2.5,Santa Rosa,CA
804,94512,41,"{'Number': 1, 'Name': 'Good'}",2018-10-15 ,0,38.25,PST,-122.04,OZONE,Fairfield,CA
805,94062,24,"{'Number': 1, 'Name': 'Good'}",2018-10-09 ,0,37.48,PST,-122.22,OZONE,Redwood City,CA
806,94062,29,"{'Number': 1, 'Name': 'Good'}",2018-10-09 ,0,37.48,PST,-122.22,PM2.5,Redwood City,CA
